word,Annotation
الله,1
طيب,1
عادي,-1
صح,1
جميل,1
حلوه,1
جميله,1
رب,1
حلو,1
كويس,1
كلب,-1
رائع,1
عسل,1
عبد,-1
مبدع,1
غريب,-1
كيوت,1
قويه,1
غبي,-1
ذوق,1
بحبك,1
مركز,1
كتير,1
عظيم,1
cool,1
مريض,-1
محترم,1
عادل,1
كريم,1
شمال,-1
عزيز,1
بارد,-1
قادر,1
حر,1
مسكين,-1
وطني,1
الملك,1
وسخه,-1
نادي,1
محمود,1
مؤلم,-1
حنين,1
جدعان,1
خطير,-1
زباله,-1
نجم,1
مسلم,1
ابيض,1
مهمه,1
سيء,-1
خطر,-1
خروف,-1
مميز,1
جاهل,-1
ممل,-1
مريضه,-1
مفيد,1
متعب,1
كويسه,1
ذكي,1
شيعي,-1
متخلف,-1
قمر,1
عميل,-1
صحي,1
وسخ,-1
حقير,-1
محترمه,1
قاتل,-1
اهبل,-1
ناجح,1
بحبها,1
ارهابي,-1
عبيط,-1
سخيف,-1
اسطوره,1
برنس,1
طيبه,1
غريبه,-1
لباس,-1
طموح,1
حاقد,-1
اخواني,-1
الوسخه,-1
واطي,-1
فنان,1
قذر,-1
جامده,1
محبوب,1
شرموطه,-1
قحبه,-1
مزه,-1
مهم,1
فلول,-1
مضحك,1
داهيه,1
علق,-1
مقرف,-1
عالي,1
خفيفه,1
باع,-1
لطيف,1
ضعيفه,-1
مثقف,1
جدار,-1
خائن,-1
حكيم,1
ثقه,1
جبان,-1
جبار,1
سهل,1
مغرور,-1
غفور,1
مستفز,-1
قدير,1
وحش,-1
ناقص,-1
هادي,1
حاد,-1
مخيف,-1
معرص,-1
خول,-1
معجبه,1
كسمك,-1
توفيق,1
بضان,-1
مرح,1
عاشق,1
احبها,1
راقي,1
ابن وسخه,-1
غني,1
وطنيه,1
عجيب,-1
وسم,1
نذل,-1
محارب,1
نجس,-1
لذيذه,1
مؤدب,1
رضا,1
كريه,-1
ارهابيين,-1
عصبيه,-1
نضيف,1
كتوم,1
منحط,-1
منحرف,-1
حشره,-1
رخمه,-1
عاهه,-1
هايف,-1
هتموت,-1
اناني,-1
متدين,1
ساقط,-1
مز,-1
مجيد,1
زبي,-1
انيقه,1
ابن الكلب,-1
غلابه,1
رحمن,1
ضب,-1
حثاله,-1
متكبر,-1
شايف نفسه,-1
كتكوت,1
صوفي,1
جامدين,1
فاسق,-1
اشطه,1
عبيطه,-1
ملخبط,-1
ارقي,1
حليم,1
مسالم,1
امعه,-1
طفران,-1
بتضرب,-1
اغبيا,-1
عشقي,1
زنديق,-1
اتفشخ,-1
خنزير,-1
محروقه,-1
اوفر,-1
فضله,1
وسيم,1
نصاب,-1
ابن الوسخه,-1
سميع,1
جدعه,1
رب العرش العظيم,1
خنيث,-1
ستين كلب,-1
نظيفه,1
شحات,-1
ودود,1
عسليه,1
اذلف,-1
متربي,1
رغاي,-1
حنينه,1
قيوم,1
مفكر,1
نعجه,-1
مؤذي,-1
ضاحي,-1
اغبيه,-1
الوسخ,-1
لقيط,-1
متناك,-1
المتناكه,-1
سخنه,-1
اتبهدل,-1
ممله,-1
حظه,1
مشكوك فيه,-1
قرده,-1
حشري,-1
بجح,-1
نعال,-1
استغلالي,-1
زلزال,-1
متخلفين,-1
رزل,-1
افاق,-1
بتضحك,1
لزيزه,1
زانيه,-1
مسليه,1
احبش,1
امنجي,-1
تواب,1
متحجر,-1
خلوق,1
وضيع,-1
جااامد,1
تفتح النفس,1
معفنه,-1
ملتزم,1
جاموسه,-1
ديوس,-1
نعيمي,-1
مقرفه,-1
صبوره,1
تكفيري,-1
قدوس,1
اللبوه,-1
مفتريه,-1
لعيب,1
بثر,-1
وقحه,-1
مدرعم,1
بجحه,-1
ناصح,1
سميع الدعاء,1
باهي,1
ضلالي,-1
صدامي,-1
شيوعي,-1
بعزك,1
ملهم,1
ابن المتناكه,-1
ذكريات جميله,1
يخونك,-1
عبيد البياده,-1
خاشعه,1
لاسع,-1
بستغرب,-1
عفوي,1
مسليني,1
المخانيث,-1
صايعين,-1
بيعجبني,1
مره كويس,1
شخصيه محترمه,1
بتحبنا,1
هييييييح,1
روقني,1
كان محترم,1
فكاهي,1
سفله,-1
فقيع,-1
بليد,-1
نجسه,-1
بغيض,-1
ادائه,1
ابن الشرموطه,-1
او جاهل,-1
وطني و,1
محنكه,1
قميل,1
برجوازي,-1
دحيحه,-1
متشكرين,1
الزواني,-1
و اهبل,-1
بنتش كلب,-1
بيكسب,1
تتفشخ,-1
مبشر,1
كان عظيم,1
حقاني,1
انا زعلان,-1
مقيت,-1
انهزامي,-1
جذمه,-1
سرسجي,-1
ابن سلول,-1
في الخيانه,-1
هيتغير,1
شهواني,-1
اولاد الوسخه,-1
مبتذله,-1
زياط,-1
ابن الزانيه,-1
وراه سر,-1
رحمن يارحيم,1
واسع العطاء,1
خبؤ,-1
عايزه واحد,-1
طيبان,1
ابن الحيوان,-1
دماغه عاليه,1
كلب العسكر,-1
ملائكيه,1
جدعه و,1
طيب اوي,1
مدفيني,1
ابن اللبوه,-1
فلقتين,-1
متطفل,-1
شاغل بالي,1
لواطي,-1
تاعب نفسه,1
بفكر راقي,1
جحلوط,-1
دماغها عاليه,1
وطني محترم,1
متململ,-1
ابن موزه,-1
مُفرح,1
محترم ووطني,1
ابو وشين,-1
دماغها حلوه,1
عبد السيسي,-1
قطرائيلي,-1
قليل الذوق,-1
نحن سعداء,1
ذوق وراقي,1
شخصيه بضان,-1
معروف او,1
بلالا,-1
شكله مستفز,-1
قرافه,-1
بتبقي بضان,-1
شبه امي,1
غريب ,-1
فرفوور,-1
مش هتموت,1
بن المتناكه,-1
يعاتبكك,-1
شخصيته جميله,1
وسخه بضان,-1
اخو القحبه,-1
زعيم,1
يتطور بشكل,1
اتشحور,-1
ذوقك عالي,1
بننسي بسرعه,-1
عبد المرشد,-1
محترم وجاد,1
جزل العطايا,1
الناس الجامده,1
راعبكم,-1
هروها,-1

